Timestamp,1. Age,2. Gender,"3. On average, how many hours do you sleep per night?",4. How many hours of screen time do you have before bed?,"5. How many cups of caffeinated drinks (coffee, tea, energy drinks) do you have per day?",6. How many hours before bed time do you usually have your last caffeinated drink?,"7. On average, how much time of physical exercise do you get per day?","8. On a scale of 1–5, how would you rate your daily stress level?",9. When do you usually sleep?,"10. On a scale of 1–5, how would you rate your overall sleep quality?"
01/08/2026 20:24:58,40,Female,6–8 hours,1–2 hours,2,3–5 hours before bed,None,3,Morning,3
01/08/2026 20:40:51,40,Female,3–5 hours,0–1 hours,2,3–5 hours before bed,Under 30 Minutes,1,Night,5
01/08/2026 21:32:09,45,Female,3–5 hours,1–2 hours,1,Never,None,4,Night,2
01/08/2026 21:40:48,68,Male,6–8 hours,1–2 hours,4,0–2 hours before bed,30-60 Minutes,2,Night,4
01/08/2026 21:48:38,66,Male,3–5 hours,0–1 hours,2,0–2 hours before bed,Under 30 Minutes,3,Night,3
01/08/2026 22:07:08,58,Male,3–5 hours,0–1 hours,3,3–5 hours before bed,Under 30 Minutes,2,Night,3
01/08/2026 22:44:53,32,Male,9–11+ hours,1–2 hours,1,6+ hours before bed,1-2 Hours,1,Night,4
01/08/2026 22:45:16,31,Male,6–8 hours,0–1 hours,1,6+ hours before bed,1-2 Hours,1,Night,5
01/08/2026 22:45:42,30,Male,6–8 hours,0–1 hours,1,6+ hours before bed,1-2 Hours,2,Morning,5
01/08/2026 22:46:17,20,Male,6–8 hours,1–2 hours,1,3–5 hours before bed,30-60 Minutes,2,Night,5
01/08/2026 22:46:49,25,Female,9–11+ hours,2–3 hours,3,3–5 hours before bed,Under 30 Minutes,2,Morning,4
01/08/2026 22:47:22,25,Male,6–8 hours,1–2 hours,1,6+ hours before bed,30-60 Minutes,1,Night,5
01/08/2026 22:47:46,24,Female,9–11+ hours,2–3 hours,0,Never,None,1,Morning,4
01/08/2026 22:48:19,29,Male,6–8 hours,1–2 hours,1,3–5 hours before bed,1-2 Hours,2,Night,4
01/08/2026 22:49:06,37,Male,6–8 hours,2–3 hours,2,0–2 hours before bed,30-60 Minutes,2,Morning,2
01/08/2026 22:49:35,40,Male,6–8 hours,1–2 hours,2,3–5 hours before bed,Under 30 Minutes,2,Night,3
01/08/2026 22:50:04,27,Female,6–8 hours,1–2 hours,2,6+ hours before bed,30-60 Minutes,1,Night,4
01/08/2026 22:50:57,66,Male,6–8 hours,0–1 hours,2,3–5 hours before bed,Under 30 Minutes,3,Night,4
01/08/2026 23:34:07,23,Female,6–8 hours,1–2 hours,2,3–5 hours before bed,30-60 Minutes,3,Night,3
02/08/2026 00:49:10,23,Female,9–11+ hours,3+ hours,0,Never,None,3,Morning,4
02/08/2026 04:25:50,60,Male,3–5 hours,1–2 hours,1,Never,Under 30 Minutes,1,Night,2
02/08/2026 04:52:48,60,Male,6–8 hours,0–1 hours,4,0–2 hours before bed,Under 30 Minutes,3,Night,3
02/08/2026 05:00:06,58,Male,6–8 hours,0–1 hours,2,3–5 hours before bed,30-60 Minutes,2,Night,4
02/08/2026 05:01:29,59,Male,6–8 hours,0–1 hours,1,6+ hours before bed,Under 30 Minutes,2,Night,4
02/08/2026 05:07:20,60,Male,0–2 hours,0–1 hours,4,0–2 hours before bed,Under 30 Minutes,1,Morning,3
02/08/2026 05:11:33,61,Male,6–8 hours,0–1 hours,4,Never,None,2,Morning,3
02/08/2026 05:34:35,39,Female,6–8 hours,1–2 hours,3,0–2 hours before bed,None,1,Morning,3
02/08/2026 05:35:45,70,Male,3–5 hours,3+ hours,2,0–2 hours before bed,30-60 Minutes,4,Night,4
02/08/2026 05:42:15,61,Male,6–8 hours,3+ hours,2,3–5 hours before bed,Under 30 Minutes,2,Morning,4
02/08/2026 05:47:28,65,Male,6–8 hours,3+ hours,2,0–2 hours before bed,30-60 Minutes,1,Morning,5
02/08/2026 05:49:56,70,Male,6–8 hours,1–2 hours,4,0–2 hours before bed,30-60 Minutes,2,Night,3
02/08/2026 06:06:35,58,Male,3–5 hours,0–1 hours,3,0–2 hours before bed,30-60 Minutes,3,Night,4
02/08/2026 06:48:27,41,Female,3–5 hours,1–2 hours,1,3–5 hours before bed,None,2,Night,3
02/08/2026 07:47:29,21,Male,9–11+ hours,2–3 hours,0,Never,None,4,Night,2
02/08/2026 08:54:00,60,Male,6–8 hours,3+ hours,3,3–5 hours before bed,Under 30 Minutes,1,Night,4
02/08/2026 10:38:02,24,Female,6–8 hours,3+ hours,3,3–5 hours before bed,1-2 Hours,2,Night,2
02/08/2026 12:00:16,62,Male,3–5 hours,3+ hours,1,Never,30-60 Minutes,3,Morning,3
02/08/2026 14:49:32,53,Male,6–8 hours,1–2 hours,3,3–5 hours before bed,30-60 Minutes,1,Night,3
02/08/2026 22:01:50,19,Female,3–5 hours,3+ hours,2,3–5 hours before bed,Under 30 Minutes,3,Night,2
03/08/2026 18:03:26,56,Male,6–8 hours,0–1 hours,4,0–2 hours before bed,Under 30 Minutes,1,Night,4
